web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,details,etat_clim,adresse,prix
"1707537167-336","https://www.expat-dakar.com/climatisation?page=17","SPLIT TCL 24000BTU INVERTER
Neuf
Plateau,
Dakar

14. nov. '23, 22:23

369 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/split-tcl-24000btu-inverter-5936468","SPLIT TCL 24000BTU INVERTER","Neuf","Plateau

Dakar",""
"1707537169-337","https://www.expat-dakar.com/climatisation?page=17","VENTILATEUR SUR PIED TNT STAR TNT-831 - 16"" POUCES
Neuf
Castor,
Dakar

15. nov. '23, 04:13

12 500 F Cfa

771452029

762809427","https://www.expat-dakar.com/annonce/ventilateur-sur-pied-tnt-star-tnt-831-16-pouces-5793310","VENTILATEUR SUR PIED TNT STAR TNT-831 - 16"" POUCES","Neuf","Castor

Dakar",""
"1707537172-338","https://www.expat-dakar.com/climatisation?page=17","Hisense - Climatiseur Split Inverter
Neuf
Hann maristes,
Dakar

15. nov. '23, 10:17

357 997 F Cfa

781673309","https://www.expat-dakar.com/annonce/hisense-climatiseur-split-inverter-5934643","Hisense - Climatiseur Split Inverter","Neuf","Hann maristes

Dakar",""
"1707537174-339","https://www.expat-dakar.com/climatisation?page=17","Astech A++ 1,5
Neuf
Médina,
Dakar

14. nov. '23, 13:37

160 000 F Cfa

195 000 F Cfa

Économisez 17.9%

782595692

771179601

338426838","https://www.expat-dakar.com/annonce/astech-a-15-5935951","Astech A++ 1,5","Neuf","Médina

Dakar","160 000 F Cfa"
"1707537177-340","https://www.expat-dakar.com/climatisation?page=17","SPLIT BELLYAIR 12000BTU 1.5CV
Neuf
Plateau,
Dakar

15. nov. '23, 17:06

159 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/split-bellyair-12000btu-15cv-5937407","SPLIT BELLYAIR 12000BTU 1.5CV","Neuf","Plateau

Dakar",""
"1707537182-341","https://www.expat-dakar.com/climatisation?page=16","SPLIT SKAGGU 12000BTU 1.5CV
Neuf
Ouakam,
Dakar

6. janv., 14:28

179 990 F Cfa

775506161

776571934

775506161","https://www.expat-dakar.com/annonce/split-skaggu-12000btu-15cv-5937431","SPLIT SKAGGU 12000BTU 1.5CV","Neuf","Ouakam

Dakar",""
"1707537185-342","https://www.expat-dakar.com/climatisation?page=16","REFROIDISSEUR AIR ASTECH 35L
Neuf
Ouakam,
Dakar

16. nov. '23, 12:51

Vendeur vérifié

89 900 F Cfa

100 000 F Cfa

Économisez 10.1%

770521414

709557473","https://www.expat-dakar.com/annonce/refroidisseur-air-astech-35l-5831220","REFROIDISSEUR AIR ASTECH 35L","Neuf","Ouakam

Dakar","89 900 F Cfa"
"1707537188-343","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 12000BTU PORTATIF R410
Neuf
Plateau,
Dakar

16. nov. '23, 17:23

179 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/promo-split-hisense-12000btu-portatif-r410-5938603","PROMO SPLIT HISENSE 12000BTU PORTATIF R410","Neuf","Plateau

Dakar",""
"1707537190-344","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 24000BTU INVERTER R410A
Neuf
Plateau,
Dakar

16. nov. '23, 17:54

389 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/promo-split-hisense-24000btu-inverter-r410a-5938623","PROMO SPLIT HISENSE 24000BTU INVERTER R410A","Neuf","Plateau

Dakar",""
"1707537193-345","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 12000BTU INVERTER
Neuf
Plateau,
Dakar

16. nov. '23, 18:44

229 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/promo-split-hisense-12000btu-inverter-5938671","PROMO SPLIT HISENSE 12000BTU INVERTER","Neuf","Plateau

Dakar",""
"1707537195-346","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE CASSETTE 24000BTU
Neuf
Plateau,
Dakar

17. nov. '23, 16:48

629 000 F Cfa

768882180","https://www.expat-dakar.com/annonce/promo-split-hisense-cassette-24000btu-5939629","PROMO SPLIT HISENSE CASSETTE 24000BTU","Neuf","Plateau

Dakar",""
"1707537198-347","https://www.expat-dakar.com/climatisation?page=16","SPLIT HISENSE CASSETTE 18000BTU EN PROMO
Neuf
Plateau,
Dakar

17. nov. '23, 17:01

569 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/split-hisense-cassette-18000btu-en-promo-5939642","SPLIT HISENSE CASSETTE 18000BTU EN PROMO","Neuf","Plateau

Dakar",""
"1707537201-348","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 24000BTU R410
Neuf
Plateau,
Dakar

17. nov. '23, 17:04

339 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/promo-split-hisense-24000btu-r410-5939647","PROMO SPLIT HISENSE 24000BTU R410","Neuf","Plateau

Dakar",""
"1707537203-349","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 9000BTU R410A
Neuf
Plateau,
Dakar

17. nov. '23, 17:10

149 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/promo-split-hisense-9000btu-r410a-5939654","PROMO SPLIT HISENSE 9000BTU R410A","Neuf","Plateau

Dakar",""
"1707537206-350","https://www.expat-dakar.com/climatisation?page=16","PROMO SPLIT HISENSE 48000BTU ARMOIRE
Neuf
Plateau,
Dakar

17. nov. '23, 17:38

889 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/promo-split-hisense-48000btu-armoire-5939683","PROMO SPLIT HISENSE 48000BTU ARMOIRE","Neuf","Plateau

Dakar",""
"1707537211-351","https://www.expat-dakar.com/climatisation?page=15","PROMO VENTILATEUR HISENSE PURIFICATION D’AIR
Neuf
Plateau,
Dakar

17. nov. '23, 17:46

110 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/promo-ventilateur-hisense-purification-dair-5939695","PROMO VENTILATEUR HISENSE PURIFICATION D’AIR","Neuf","Plateau

Dakar",""
"1707537213-352","https://www.expat-dakar.com/climatisation?page=15","PROMO SPLIT MIDEA 18000BTU 2.5CV UNICOOL NEW INVERTER
Neuf
Plateau,
Dakar

17. nov. '23, 20:16

329 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/promo-split-midea-18000btu-25cv-unicool-new-inverter-5939790","PROMO SPLIT MIDEA 18000BTU 2.5CV UNICOOL NEW INVERTER","Neuf","Plateau

Dakar",""
"1707537216-353","https://www.expat-dakar.com/climatisation?page=15","Climatiseurs
Neuf
Médina,
Dakar

17. nov. '23, 23:52

130 000 F Cfa

787522026","https://www.expat-dakar.com/annonce/climatiseurs-5939641","Climatiseurs","Neuf","Médina

Dakar",""
"1707537219-354","https://www.expat-dakar.com/climatisation?page=15","SPLIT ASTECH 12000 BTU 1.5 CV
Neuf
Mermoz,
Dakar

20. nov. '23, 12:05

176 000 F Cfa

775700721","https://www.expat-dakar.com/annonce/split-astech-12000-btu-15-cv-5151790","SPLIT ASTECH 12000 BTU 1.5 CV","Neuf","Mermoz

Dakar",""
"1707537221-355","https://www.expat-dakar.com/climatisation?page=15","SPLIT ROCH 12000 btu 1.5 cv
Neuf
Almadies,
Dakar

20. nov. '23, 12:06

183 000 F Cfa

775700721","https://www.expat-dakar.com/annonce/split-roch-12000-btu-15-cv-5142883","SPLIT ROCH 12000 btu 1.5 cv","Neuf","Almadies

Dakar",""
"1707537224-356","https://www.expat-dakar.com/climatisation?page=15","PROMO SPLIT BEKO 18000BTU 2CV FREON 410
Neuf
Plateau,
Dakar

20. nov. '23, 17:13

289 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/promo-split-beko-18000btu-2cv-freon-410-5941739","PROMO SPLIT BEKO 18000BTU 2CV FREON 410","Neuf","Plateau

Dakar",""
"1707537227-357","https://www.expat-dakar.com/climatisation?page=15","PROMO SPLIT BEKO 12000BTU 1.5CV INVERTER
Neuf
Plateau,
Dakar

20. nov. '23, 17:38

259 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/promo-split-beko-12000btu-15cv-inverter-5941754","PROMO SPLIT BEKO 12000BTU 1.5CV INVERTER","Neuf","Plateau

Dakar",""
"1707537229-358","https://www.expat-dakar.com/climatisation?page=15","SPLIT SHARP 12000 BTU 1.5CV
Neuf
Plateau,
Dakar

21. nov. '23, 10:58

Vendeur vérifié

210 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-sharp-12000-btu-15cv-5448351","SPLIT SHARP 12000 BTU 1.5CV","Neuf","Plateau

Dakar",""
"1707537232-359","https://www.expat-dakar.com/climatisation?page=15","Climatiseur split astech 1.5cv 12000btu
Neuf
Plateau,
Dakar

21. nov. '23, 11:36

Vendeur vérifié

175 000 F Cfa

774458810","https://www.expat-dakar.com/annonce/climatiseur-split-astech-15cv-12000btu-5822926","Climatiseur split astech 1.5cv 12000btu","Neuf","Plateau

Dakar",""
"1707537234-360","https://www.expat-dakar.com/climatisation?page=15","Climatiseur
D'occasion
Keur Massar,
Dakar

22. nov. '23, 09:23

100 000 F Cfa

772680462","https://www.expat-dakar.com/annonce/climatiseur-5923283","Climatiseur","D'occasion","Keur Massar

Dakar",""
"1707537239-361","https://www.expat-dakar.com/climatisation?page=14","Climatiseur inverter
D'occasion
Amitié,
Dakar

22. nov. '23, 12:02

200 000 F Cfa

777653280","https://www.expat-dakar.com/annonce/climatiseur-inverter-5939419","Climatiseur inverter","D'occasion","Amitié

Dakar",""
"1707537242-362","https://www.expat-dakar.com/climatisation?page=14","SPLIT HISENSE 9000 BTU
Neuf
Plateau,
Dakar

22. nov. '23, 12:33

Vendeur vérifié

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-hisense-9000-btu-5723423","SPLIT HISENSE 9000 BTU","Neuf","Plateau

Dakar",""
"1707537245-363","https://www.expat-dakar.com/climatisation?page=14","SPLIT SMART TECHNOLOGIE 1.5cv 12.0000 btu
Neuf
Almadies,
Dakar

22. nov. '23, 15:04

178 000 F Cfa

775700721","https://www.expat-dakar.com/annonce/split-smart-technologie-15cv-120000-btu-5789668","SPLIT SMART TECHNOLOGIE 1.5cv 12.0000 btu","Neuf","Almadies

Dakar",""
"1707537247-364","https://www.expat-dakar.com/climatisation?page=14","SPLIT ASTECH 2cv 18000 BTU
Neuf
Mermoz,
Dakar

22. nov. '23, 15:25

250 000 F Cfa

775700721","https://www.expat-dakar.com/annonce/split-astech-2cv-18000-btu-5144221","SPLIT ASTECH 2cv 18000 BTU","Neuf","Mermoz

Dakar",""
"1707537250-365","https://www.expat-dakar.com/climatisation?page=14","SPLIT GREE 12000BTU 1.5CV GAZ 410
Neuf
Plateau,
Dakar

23. nov. '23, 12:04

Vendeur vérifié

220 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-gree-12000btu-15cv-gaz-410-5804643","SPLIT GREE 12000BTU 1.5CV GAZ 410","Neuf","Plateau

Dakar",""
"1707537252-366","https://www.expat-dakar.com/climatisation?page=14","SPLIT 1.25CV FINIX-09BB 9000BTU GAZ R410A
Neuf
Plateau,
Dakar

22. janv., 13:42

Vendeur vérifié

150 000 F Cfa

786374400","https://www.expat-dakar.com/annonce/split-125cv-finix-09bb-9000btu-gaz-r410a-5750600","SPLIT 1.25CV FINIX-09BB 9000BTU GAZ R410A","Neuf","Plateau

Dakar",""
"1707537255-367","https://www.expat-dakar.com/climatisation?page=14","SPLIT SHARP 12000BTU 1.5 CV R410
Neuf
Plateau,
Dakar

22. sept. '23, 22:42

Vendeur vérifié

225 000 F Cfa

775267261

338423746","https://www.expat-dakar.com/annonce/split-sharp-12000btu-15-cv-r410-4083765","SPLIT SHARP 12000BTU 1.5 CV R410","Neuf","Plateau

Dakar",""
"1707537257-368","https://www.expat-dakar.com/climatisation?page=14","PROMO SPLIT ENDURO 12000BTU R410
Neuf
Plateau,
Dakar

23. nov. '23, 21:49

159 000 F Cfa

776096472

776096472","https://www.expat-dakar.com/annonce/promo-split-enduro-12000btu-r410-5944825","PROMO SPLIT ENDURO 12000BTU R410","Neuf","Plateau

Dakar",""
"1707537260-369","https://www.expat-dakar.com/climatisation?page=14","Split Astech A++ 1ch
Neuf
Médina,
Dakar

24. nov. '23, 01:59

150 000 F Cfa

165 000 F Cfa

Économisez 9.1%

782595692

771179601

338426838","https://www.expat-dakar.com/annonce/split-astech-a-1ch-5942344","Split Astech A++ 1ch","Neuf","Médina

Dakar","150 000 F Cfa"
"1707537263-370","https://www.expat-dakar.com/climatisation?page=14","CLIMATISEURS ENDURO 9000BTU 1.25 CV INVERTER
Neuf
Plateau,
Dakar

14. oct. '23, 15:31

Vendeur vérifié

195 000 F Cfa

775267261

338423746","https://www.expat-dakar.com/annonce/climatiseurs-enduro-9000btu-125-cv-inverter-5903544","CLIMATISEURS ENDURO 9000BTU 1.25 CV INVERTER","Neuf","Plateau

Dakar",""
"1707537268-371","https://www.expat-dakar.com/climatisation?page=13","PROMO SPLIT HAIER 24000BTU 3CV GAZ 410
Neuf
Plateau,
Dakar

28. nov. '23, 16:47

310 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/promo-split-haier-24000btu-3cv-gaz-410-5948581","PROMO SPLIT HAIER 24000BTU 3CV GAZ 410","Neuf","Plateau

Dakar",""
"1707537270-372","https://www.expat-dakar.com/climatisation?page=13","PROMO SPLIT HAIER 12000BTU 1.5CV GAZ 410
Neuf
Plateau,
Dakar

28. nov. '23, 16:52

189 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/promo-split-haier-12000btu-15cv-gaz-410-5948585","PROMO SPLIT HAIER 12000BTU 1.5CV GAZ 410","Neuf","Plateau

Dakar",""
"1707537273-373","https://www.expat-dakar.com/climatisation?page=13","SPLIT DESKA 12000BTU 1.5CV DES-12FV3-DE
Neuf
Plateau,
Dakar

29. nov. '23, 10:02

Vendeur vérifié

185 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-deska-12000btu-15cv-des-12fv3-de-5804619","SPLIT DESKA 12000BTU 1.5CV DES-12FV3-DE","Neuf","Plateau

Dakar",""
"1707537275-374","https://www.expat-dakar.com/climatisation?page=13","PROMO SPLIT LG 18000BTU 2.5CV INVERTER
Neuf
Plateau,
Dakar

29. nov. '23, 19:00

410 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/promo-split-lg-18000btu-25cv-inverter-5949468","PROMO SPLIT LG 18000BTU 2.5CV INVERTER","Neuf","Plateau

Dakar",""
"1707537278-375","https://www.expat-dakar.com/climatisation?page=13","SPLIT GREE 18000BTU 2CV GAZ 410
Neuf
Plateau,
Dakar

30. nov. '23, 08:55

Vendeur vérifié

290 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-gree-18000btu-2cv-gaz-410-5804651","SPLIT GREE 18000BTU 2CV GAZ 410","Neuf","Plateau

Dakar",""
"1707537281-376","https://www.expat-dakar.com/climatisation?page=13","SPLIT FINIX 12000BTU 1.5CV INVERTER FINIX-12DBC
Neuf
Plateau,
Dakar

30. nov. '23, 08:57

Vendeur vérifié

240 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-finix-12000btu-15cv-inverter-finix-12dbc-5804638","SPLIT FINIX 12000BTU 1.5CV INVERTER FINIX-12DBC","Neuf","Plateau

Dakar",""
"1707537283-377","https://www.expat-dakar.com/climatisation?page=13","CHAUFFAGE ÉLECTRIQUE 800W
Neuf
Ouest foire,
Dakar

30. nov. '23, 21:35

85 000 F Cfa

771999075

771635015","https://www.expat-dakar.com/annonce/chauffage-electrique-800w-5950456","CHAUFFAGE ÉLECTRIQUE 800W","Neuf","Ouest foire

Dakar",""
"1707537286-378","https://www.expat-dakar.com/climatisation?page=13","Ventilateur turbo force
Neuf
Médina,
Dakar

30. nov. '23, 22:57

25 000 F Cfa

776727484

773936501","https://www.expat-dakar.com/annonce/ventilateur-turbo-force-5950487","Ventilateur turbo force","Neuf","Médina

Dakar",""
"1707537288-379","https://www.expat-dakar.com/climatisation?page=13","Ventilateur portable
Neuf
Médina,
Dakar

30. nov. '23, 23:03

120 000 F Cfa

776727484

773936501","https://www.expat-dakar.com/annonce/ventilateur-portable-5950491","Ventilateur portable","Neuf","Médina

Dakar",""
"1707537291-380","https://www.expat-dakar.com/climatisation?page=13","INSTALLATION CLIMATISEUR FINIX 18000BTU 2.5 CV INVENTER
Neuf
Plateau,
Dakar

13. oct. '23, 07:33

Vendeur vérifié

410 000 F Cfa

775267261

338423746","https://www.expat-dakar.com/annonce/installation-climatiseur-finix-18000btu-25-cv-inventer-5830843","INSTALLATION CLIMATISEUR FINIX 18000BTU 2.5 CV INVENTER","Neuf","Plateau

Dakar",""
"1707537296-381","https://www.expat-dakar.com/climatisation?page=12","PROMO SPLIT FINIX 9000BTU 1.25CV GAZ410
Neuf
Plateau,
Dakar

5. déc. '23, 17:23

149 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/promo-split-finix-9000btu-125cv-gaz410-5953913","PROMO SPLIT FINIX 9000BTU 1.25CV GAZ410","Neuf","Plateau

Dakar",""
"1707537299-382","https://www.expat-dakar.com/climatisation?page=12","PROMO VENTILATEUR SMART TECHNOLOGY INDUSTRIEL SUR PIED
Neuf
Plateau,
Dakar

5. déc. '23, 18:06

52 000 F Cfa

776096472

776096472","https://www.expat-dakar.com/annonce/promo-ventilateur-smart-technology-industriel-sur-pied-5953952","PROMO VENTILATEUR SMART TECHNOLOGY INDUSTRIEL SUR PIED","Neuf","Plateau

Dakar",""
"1707537301-383","https://www.expat-dakar.com/climatisation?page=12","VENTILATEUR ROCH 5 ÉLISÉE TRÈS FORTE
Neuf
Plateau,
Dakar

25. janv., 08:23

Vendeur vérifié

25 000 F Cfa

775267261

338423746","https://www.expat-dakar.com/annonce/ventilateur-roch-5-elisee-tres-forte-5027652","VENTILATEUR ROCH 5 ÉLISÉE TRÈS FORTE","Neuf","Plateau

Dakar",""
"1707537304-384","https://www.expat-dakar.com/climatisation?page=12","PROMO SPLIT LG 12000BTU 1.5CV R410 NORMAL
Neuf
Plateau,
Dakar

6. déc. '23, 19:41

239 000 F Cfa

768882180","https://www.expat-dakar.com/annonce/promo-split-lg-12000btu-15cv-r410-normal-5954913","PROMO SPLIT LG 12000BTU 1.5CV R410 NORMAL","Neuf","Plateau

Dakar",""
"1707537306-385","https://www.expat-dakar.com/climatisation?page=12","PROMO SPLIT LG CASSETTE 18000BTU 2.5CV
Neuf
Plateau,
Dakar

6. déc. '23, 19:49

950 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/promo-split-lg-cassette-18000btu-25cv-5954914","PROMO SPLIT LG CASSETTE 18000BTU 2.5CV","Neuf","Plateau

Dakar",""
"1707537309-386","https://www.expat-dakar.com/climatisation?page=12","MOTEUR CLIM 3 CV
D'occasion
Amitié,
Dakar

6. déc. '23, 22:02

Vendeur vérifié

100 000 F Cfa

770448004

771829009","https://www.expat-dakar.com/annonce/moteur-clim-3-cv-5954976","MOTEUR CLIM 3 CV","D'occasion","Amitié

Dakar",""
"1707537312-387","https://www.expat-dakar.com/climatisation?page=12","Climatiseur à eau
Neuf
Sangalkam,
Dakar

7. déc. '23, 09:17

85 000 F Cfa

775873374","https://www.expat-dakar.com/annonce/climatiseur-a-eau-5954968","Climatiseur à eau","Neuf","Sangalkam

Dakar",""
"1707537314-388","https://www.expat-dakar.com/climatisation?page=12","climatiseur Beko
Neuf
Point-e,
Dakar

8. déc. '23, 12:14

Vendeur vérifié

250 000 F Cfa

781302424","https://www.expat-dakar.com/annonce/climatiseur-beko-5956144","climatiseur Beko","Neuf","Point-e

Dakar",""
"1707537317-389","https://www.expat-dakar.com/climatisation?page=12","SPLIT CAC 18000BTU 2.5CV GAZ 410
Neuf
Fann,
Dakar

8. déc. '23, 12:53

225 000 F Cfa

776614444","https://www.expat-dakar.com/annonce/split-cac-18000btu-25cv-gaz-410-5867328","SPLIT CAC 18000BTU 2.5CV GAZ 410","Neuf","Fann

Dakar",""
"1707537319-390","https://www.expat-dakar.com/climatisation?page=12","Climatiseur 1.5 portatif
Neuf
Colobane,
Dakar

8. déc. '23, 14:24

Vendeur vérifié

189 900 F Cfa

772095510","https://www.expat-dakar.com/annonce/climatiseur-15-portatif-5956293","Climatiseur 1.5 portatif","Neuf","Colobane

Dakar",""
"1707537325-391","https://www.expat-dakar.com/climatisation?page=11","Clim atesh
D'occasion
Hann maristes,
Dakar

8. déc. '23, 22:41

50 000 F Cfa

75 000 F Cfa

Économisez 33.3%

750121830

785255701","https://www.expat-dakar.com/annonce/clim-atesh-5955573","Clim atesh","D'occasion","Hann maristes

Dakar","50 000 F Cfa"
"1707537327-392","https://www.expat-dakar.com/climatisation?page=11","Climatiseur

Colobane,
Dakar

11. déc. '23, 14:08

125 000 F Cfa

762773171","https://www.expat-dakar.com/annonce/climatiseur-5958008","Climatiseur","","Colobane

Dakar",""
"1707537330-393","https://www.expat-dakar.com/climatisation?page=11","Ventilateur continental quasi neuf
D'occasion
Dieuppeul,
Dakar

11. déc. '23, 14:11

10 000 F Cfa

765660151","https://www.expat-dakar.com/annonce/ventilateur-continental-quasi-neuf-5957941","Ventilateur continental quasi neuf","D'occasion","Dieuppeul

Dakar",""
"1707537332-394","https://www.expat-dakar.com/climatisation?page=11","Climatiseur mobile à vendre
D'occasion
Ouakam,
Dakar

11. déc. '23, 16:28

70 000 F Cfa

771953507","https://www.expat-dakar.com/annonce/climatiseur-mobile-a-vendre-5957839","Climatiseur mobile à vendre","D'occasion","Ouakam

Dakar",""
"1707537335-395","https://www.expat-dakar.com/climatisation?page=11","PROMO SPLIT SAMSUNG AR 9000BTU
Neuf
Plateau,
Dakar

11. déc. '23, 20:25

234 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/promo-split-samsung-ar-9000btu-5958374","PROMO SPLIT SAMSUNG AR 9000BTU","Neuf","Plateau

Dakar",""
"1707537338-396","https://www.expat-dakar.com/climatisation?page=11","PROMO SPLIT SAMSUNG AR 12000BTU 1.5CV MAX
Neuf
Plateau,
Dakar

11. déc. '23, 20:28

244 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/promo-split-samsung-ar-12000btu-15cv-max-5958376","PROMO SPLIT SAMSUNG AR 12000BTU 1.5CV MAX","Neuf","Plateau

Dakar",""
"1707537340-397","https://www.expat-dakar.com/climatisation?page=11","Split Astech 1.5
Neuf
Plateau,
Dakar

6. nov. '23, 17:19

160 000 F Cfa

776270457

766858780","https://www.expat-dakar.com/annonce/split-astech-15-5927873","Split Astech 1.5","Neuf","Plateau

Dakar",""
"1707537343-398","https://www.expat-dakar.com/climatisation?page=11","PROMO SPLIT SAMSUNG 48000BTU ARMOIRE INVERTER
Neuf
Plateau,
Dakar

12. déc. '23, 17:16

1 700 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/promo-split-samsung-48000btu-armoire-inverter-5958943","PROMO SPLIT SAMSUNG 48000BTU ARMOIRE INVERTER","Neuf","Plateau

Dakar",""
"1707537345-399","https://www.expat-dakar.com/climatisation?page=11","PROMO SPLIT SAMSUNG AR 24000BTU 3CV MAX
Neuf
Plateau,
Dakar

12. déc. '23, 17:39

419 000 F Cfa

768882180","https://www.expat-dakar.com/annonce/promo-split-samsung-ar-24000btu-3cv-max-5958957","PROMO SPLIT SAMSUNG AR 24000BTU 3CV MAX","Neuf","Plateau

Dakar",""
"1707537348-400","https://www.expat-dakar.com/climatisation?page=11","PROMO SPLIT SAMSUNG AR 18000BTU 2.5CV MAX
Neuf
Plateau,
Dakar

12. déc. '23, 17:44

329 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/promo-split-samsung-ar-18000btu-25cv-max-5958960","PROMO SPLIT SAMSUNG AR 18000BTU 2.5CV MAX","Neuf","Plateau

Dakar",""
"1707537353-401","https://www.expat-dakar.com/climatisation?page=10","SPLIT ELACTRON 9000BTU A++
Neuf
Ouakam,
Dakar

13. déc. '23, 11:36

Vendeur vérifié

14 990 F Cfa

160 000 F Cfa

Économisez 90.6%

770521414

709557473","https://www.expat-dakar.com/annonce/split-elactron-9000btu-a-5791180","SPLIT ELACTRON 9000BTU A++","Neuf","Ouakam

Dakar","14 990 F Cfa"
"1707537356-402","https://www.expat-dakar.com/climatisation?page=10","CLIM SPLIT DESKA 9000BTU 1.25 CV
Neuf
Plateau,
Dakar

21. juin '23, 22:53

Vendeur vérifié

170 000 F Cfa

775267261

338423746","https://www.expat-dakar.com/annonce/clim-split-deska-9000btu-125-cv-5537865","CLIM SPLIT DESKA 9000BTU 1.25 CV","Neuf","Plateau

Dakar",""
"1707537358-403","https://www.expat-dakar.com/climatisation?page=10","Split Astech 1.5
Neuf
Plateau,
Dakar

14. déc. '23, 18:01

160 000 F Cfa

776270457

766858780","https://www.expat-dakar.com/annonce/split-astech-15-5960496","Split Astech 1.5","Neuf","Plateau

Dakar",""
"1707537361-404","https://www.expat-dakar.com/climatisation?page=10","Climatiseur Split ASTECH
Neuf
Médina,
Dakar

15. déc. '23, 14:48

140 000 F Cfa

774289394","https://www.expat-dakar.com/annonce/climatiseur-split-astech-5873284","Climatiseur Split ASTECH","Neuf","Médina

Dakar",""
"1707537364-405","https://www.expat-dakar.com/climatisation?page=10","Climatiseurs
Neuf
Parcelles Assainies,
Dakar

16. déc. '23, 12:15

170 000 F Cfa

777932510","https://www.expat-dakar.com/annonce/climatiseurs-5961266","Climatiseurs","Neuf","Parcelles Assainies

Dakar",""
"1707537367-406","https://www.expat-dakar.com/climatisation?page=10","VENTILATEUR ROCH 18"" AVEC TELECOMMANDE
Neuf
Ouakam,
Dakar

16. déc. '23, 13:28

Vendeur vérifié

29 900 F Cfa

770521414

709557473","https://www.expat-dakar.com/annonce/ventilateur-roch-18-avec-telecommande-5841308","VENTILATEUR ROCH 18"" AVEC TELECOMMANDE","Neuf","Ouakam

Dakar",""
"1707537369-407","https://www.expat-dakar.com/climatisation?page=10","Clim SPLIT ELECTRON 12000BTU 1.5 CV R410 A++
Neuf
Plateau,
Dakar

4. juil. '23, 15:53

Vendeur vérifié

185 000 F Cfa

210 000 F Cfa

Économisez 11.9%

775267261

338423746","https://www.expat-dakar.com/annonce/clim-split-electron-12000btu-15-cv-r410-a-5764656","Clim SPLIT ELECTRON 12000BTU 1.5 CV R410 A++","Neuf","Plateau

Dakar","185 000 F Cfa"
"1707537372-408","https://www.expat-dakar.com/climatisation?page=10","Ventilateur a eau Coralstar
Neuf
Plateau,
Dakar

20. déc. '23, 09:12

Vendeur vérifié

44 999 F Cfa

65 000 F Cfa

Économisez 30.8%

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/ventilateur-a-eau-coralstar-5958027","Ventilateur a eau Coralstar","Neuf","Plateau

Dakar","44 999 F Cfa"
"1707537374-409","https://www.expat-dakar.com/climatisation?page=10","Climatiseur portatif 1 5cav Astech
Venant
Colobane,
Dakar

21. déc. '23, 13:43

175 000 F Cfa

763762042","https://www.expat-dakar.com/annonce/climatiseur-portatif-1-5cav-astech-5964798","Climatiseur portatif 1 5cav Astech","Venant","Colobane

Dakar",""
"1707537377-410","https://www.expat-dakar.com/climatisation?page=10","SPLIT ASTECH 9000BTU 1 CHEVAL
Neuf
Sicap Liberté,
Dakar

25. déc. '23, 17:46

Vendeur vérifié

159 000 F Cfa

778624545","https://www.expat-dakar.com/annonce/split-astech-9000btu-1-cheval-5869689","SPLIT ASTECH 9000BTU 1 CHEVAL","Neuf","Sicap Liberté

Dakar",""
